Name,Tm,smiles,Cation,Anion,reference
1-(4-ethoxy-4-oxobutyl)-1-methylpyrrolidinium bromide,346.1,CCOC(=O)CCC[N+]1(C)CCCC1.[Br-],CCOC(=O)CCC[N+]1(C)CCCC1,[Br-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
"1,3-diethyl-5-methylimidazolium trifluoromethanesulfonate",308.2704403,CCn1c[n+](CC)cc1C.O=S(=O)([O-])C(F)(F)F,CCn1c[n+](CC)cc1C,O=S(=O)([O-])C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-(methoxymethyl)-3-methylimidazolium chloride,340.0,COCn1cc[n+](C)c1.[Cl-],COCn1cc[n+](C)c1,[Cl-],"Molecules 2021, 26(9), 2454"
N-butyl-4-methylpyridinium tosylate,324.86,CCCC[n+]1ccc(C)cc1.Cc1ccc(S(=O)(=O)[O-])cc1,CCCC[n+]1ccc(C)cc1,Cc1ccc(S(=O)(=O)[O-])cc1,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
"1,3-dimethyl-4-methylimidazolium bis(trifluoromethylsulfonyl)imide",251.0,Cc1cn(C)c[n+]1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Cc1cn(C)c[n+]1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,299.1,CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
butylammonium formate,275.1,CCCC[NH3+].O=C[O-],CCCC[NH3+],O=C[O-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-isopropyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,289.0,CC(C)n1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC(C)n1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Molecules 2021, 26(9), 2454"
N-methyl-N-butyl-pyrrolidinium bis(trifluoromethylsulfonyl)imide,255.15,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
"N,N,N-triheptylheptan-1-aminium perchlorate",399.15,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[O-][Cl+3]([O-])([O-])[O-],CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC,[O-][Cl+3]([O-])([O-])[O-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-octylquinolinium bis[(trifluoromethyl)sulfonyl]imide,321.3,CCCCCCCC[n+]1cccc2ccccc21.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCC[n+]1cccc2ccccc21,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-Butyl-3-methylimidazolium pentafluoroethyltrifluoroborate,231.1889973,CCCCn1cc[n+](C)c1.F[B-](F)(F)C(F)(F)C(F)(F)F,CCCCn1cc[n+](C)c1,F[B-](F)(F)C(F)(F)C(F)(F)F,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
1-Ethyl-3-methylimidazolium tricyanomethanide,263.0153846,CCn1cc[n+](C)c1.N#C[C-](C#N)C#N,CCn1cc[n+](C)c1,N#C[C-](C#N)C#N,"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
"3-[2-(3,4-dichlorophenyl)-2-oxoethyl]-1-methylimidazolium bromide",456.65,Cn1cc[n+](CC(=O)c2ccc(Cl)c(Cl)c2)c1.[Br-],Cn1cc[n+](CC(=O)c2ccc(Cl)c(Cl)c2)c1,[Br-],"Ind. Eng. Chem. Res. 2022, 61, 13, 4683�4706"
