logEC50,smile,Cation,Anion
3.3,COCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.235,CCCCCCCC[n+]1cccc2ccccc21.F[B-](F)(F)F,CCCCCCCC[n+]1cccc2ccccc21,F[B-](F)(F)F
3.2588392875,CCCCn1cc[n+](CC)c1.F[B-](F)(F)F,CCCCn1cc[n+](CC)c1,F[B-](F)(F)F
0.33,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,[Cl-]
1.372374173,CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCn1cc[n+](C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
2.928941705,C[n+]1ccn(CCc2ccccc2)c1.F[P-](F)(F)(F)(F)F,C[n+]1ccn(CCc2ccccc2)c1,F[P-](F)(F)(F)(F)F
0.36,CCCCCCCC[n+]1cc(C)cc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCC[n+]1cc(C)cc(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.61,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.4,C[NH+](C)CCO.O=C([O-])CO,C[NH+](C)CCO,O=C([O-])CO
1.4991552769999998,CCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
3.53,C[N+]1(C#N)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(C#N)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.0105946495,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,CCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F
2.9,COCC[N+]1(C)CCOCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,COCC[N+]1(C)CCOCC1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
3.4,CC1=CC(=O)N=S(=O)([O-])O1.CCCCCCOC[n+]1cccc(O)c1,CCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)N=S(=O)([O-])O1
3.77,COCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,COCCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.3,CCCCCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21,CCCCCCOC[n+]1cccc(O)c1,O=C1[N-]S(=O)(=O)c2ccccc21
4.66,NC(CO)C(=O)[O-].OCCCn1cc[nH+]c1,OCCCn1cc[nH+]c1,NC(CO)C(=O)[O-]
3.48,CCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
0.53,CCCCCCCCCCn1cc[n+](CC)c1.[Br-],CCCCCCCCCCn1cc[n+](CC)c1,[Br-]
3.48,CC[S+](C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[S+](C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1.92,CCCCCC[n+]1ccn(C)c1.[Cl-],CCCCCC[n+]1ccn(C)c1,[Cl-]
2.26,CCCCCCn1cc[n+](CC)c1.F[B-](F)(F)F,CCCCCCn1cc[n+](CC)c1,F[B-](F)(F)F
4.6,CC[N+](C)(C)CCO.[I-],CC[N+](C)(C)CCO,[I-]
3.2900173055,CCCCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,CCCCn1cc[n+](C)c1,Cc1ccc(S(=O)(=O)[O-])cc1
0.93,CCCCCC[n+]1ccc(N(C)C)cc1.[Cl-],CCCCCC[n+]1ccc(N(C)C)cc1,[Cl-]
3.13,CCn1cc[n+](C)c1.O=C(O)c1ccccc1[O-],CCn1cc[n+](C)c1,O=C(O)c1ccccc1[O-]
3.288900865,CCCCn1cc[n+](C)c1.O=S(=O)([O-])O,CCCCn1cc[n+](C)c1,O=S(=O)([O-])O
3.0,CCCCCCCOC[n+]1cccc(O)c1.[Cl-],CCCCCCCOC[n+]1cccc(O)c1,[Cl-]
2.85,CCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.88,Cn1cc[n+](CCO)c1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,Cn1cc[n+](CCO)c1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
3.156120830666667,CCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],CCCCn1cc[n+](C)c1,COCCOCCOS(=O)(=O)[O-]
2.0,CCCCCCCC[N+]1(C)CCCCC1.[Br-],CCCCCCCC[N+]1(C)CCCCC1,[Br-]
-0.2401660775,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-],CCCCCCCCCCCCCCCCn1cc[n+](C)c1,[Cl-]
2.96,Cn1c(=O)c2c(n(C)c1=O)[n+](C)cn2C.O=S(=O)([O-])C(F)(F)F,Cn1c(=O)c2c(n(C)c1=O)[n+](C)cn2C,O=S(=O)([O-])C(F)(F)F
3.0,CC1=CC(=O)N=S(=O)([O-])O1.CCCCCCCOC[n+]1cccc(O)c1,CCCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)N=S(=O)([O-])O1
2.835,CCCCCCn1cc[n+](C)c1.[Cl-],CCCCCCn1cc[n+](C)c1,[Cl-]
2.16,COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,COCC[N+]1(C)CCCC1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
3.19,CCCCCC[N+]1(C)CCCC1.[Br-],CCCCCC[N+]1(C)CCCC1,[Br-]
0.63,CCCCCCCCn1cc[n+](C)c1.[Br-],CCCCCCCCn1cc[n+](C)c1,[Br-]
1.15,COCCn1cc[n+](C)c1.F[B-](F)(F)F,COCCn1cc[n+](C)c1,F[B-](F)(F)F
2.14,CCOC[n+]1ccccc1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCOC[n+]1ccccc1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
0.93,CCCCCC[n+]1ccc(N(C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[n+]1ccc(N(C)C)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.05,CC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
1.07,CCCCCC[n+]1cccc2ccccc21.F[B-](F)(F)F,CCCCCC[n+]1cccc2ccccc21,F[B-](F)(F)F
2.695,C[N+]1(CCCO)CCCCC1.[Cl-],C[N+]1(CCCO)CCCCC1,[Cl-]
3.97,CCn1cc[n+](C)c1.CS(=O)(=O)[O-],CCn1cc[n+](C)c1,CS(=O)(=O)[O-]
3.6,CCCOC[n+]1cccc(O)c1.O=C1N=S(=O)([O-])c2ccccc21,CCCOC[n+]1cccc(O)c1,O=C1N=S(=O)([O-])c2ccccc21
3.48,CCCC[n+]1cccc(C)c1.[I-],CCCC[n+]1cccc(C)c1,[I-]
2.9,C[N+]1(Cc2ccccc2)CCOCC1.O=C([O-])c1ccccc1O,C[N+]1(Cc2ccccc2)CCOCC1,O=C([O-])c1ccccc1O
2.12,CC[n+]1ccn(C)c1.N#C[S-],CC[n+]1ccn(C)c1,N#C[S-]
4.449999999999999,CCCC[N+]1(C)CCCC1.[Cl-],CCCC[N+]1(C)CCCC1,[Cl-]
3.9,COCC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,C[N+]1(Cc2ccccc2)CCOCC1,COCC(=O)[O-]
2.13,CC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,CC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)F
1.42,CCCCCCn1cc[n+](C)c1.[Br-],CCCCCCn1cc[n+](C)c1,[Br-]
1.88,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
1.6,CCCCCCCCCCCOC[n+]1cccc(O)c1.[Cl-],CCCCCCCCCCCOC[n+]1cccc(O)c1,[Cl-]
4.449999999999999,C[n+]1ccn(CCCO)c1.[Cl-],C[n+]1ccn(CCCO)c1,[Cl-]
3.373947862666667,CCOCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.93,CCCC[n+]1cccc(C)c1C.[Br-],CCCC[n+]1cccc(C)c1C,[Br-]
0.79,CCCCCCCC[n+]1cccc(C)c1.[Br-],CCCCCCCC[n+]1cccc(C)c1,[Br-]
0.17,CCCCCCCC[n+]1cccc2ccccc21.[Cl-],CCCCCCCC[n+]1cccc2ccccc21,[Cl-]
3.736638733333333,C[n+]1ccn(CCCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCO)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.481436792,C[n+]1ccn(CCO)c1.F[B-](F)(F)F,C[n+]1ccn(CCO)c1,F[B-](F)(F)F
3.71,C[N+]1(CCCO)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+]1(CCCO)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.21,CCC[n+]1ccccc1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCC[n+]1ccccc1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
2.64,Cc1ccc(Cn2cc[n+](C)c2)cc1.[Cl-],Cc1ccc(Cn2cc[n+](C)c2)cc1,[Cl-]
2.41,CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCC[N+]1(C)CCCC1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
2.51,CCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,CCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F
2.58,COCC[n+]1ccn(C)c1.[Cl-],COCC[n+]1ccn(C)c1,[Cl-]
1.56,CCCC[n+]1cc(C)cc(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[n+]1cc(C)cc(C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.55,CCOCC[N+](C)(C)CC.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,CCOCC[N+](C)(C)CC,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
3.43,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.05,CCCC[n+]1ccc(C)c(C)c1.[Cl-],CCCC[n+]1ccc(C)c(C)c1,[Cl-]
2.0,CCCC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,CCCC[n+]1ccn(C)c1,Cc1ccc(S(=O)(=O)[O-])cc1
2.03,CC[n+]1ccn(C)c1.O=C([O-])C(F)(F)F,CC[n+]1ccn(C)c1,O=C([O-])C(F)(F)F
4.6,CC[N+](C)(C)CC#N.[Cl-],CC[N+](C)(C)CC#N,[Cl-]
0.64,CCCCCCCC[n+]1cc(C)cc(C)c1C.[Br-],CCCCCCCC[n+]1cc(C)cc(C)c1C,[Br-]
2.84,CCCC[n+]1cccc(C)c1C.O=S(=O)([O-])C(F)(F)F,CCCC[n+]1cccc(C)c1C,O=S(=O)([O-])C(F)(F)F
1.03,CCn1cc[n+](C)c1.c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,CCn1cc[n+](C)c1,c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1
2.64,Cc1ccc(CN2C=C[NH+](C)C2)cc1.[Cl-],Cc1ccc(CN2C=C[NH+](C)C2)cc1,[Cl-]
3.0,CCCCCCCOC[n+]1cccc(O)c1.O=C1N=S(=O)([O-])c2ccccc21,CCCCCCCOC[n+]1cccc(O)c1,O=C1N=S(=O)([O-])c2ccccc21
3.23,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1cccc(C)c1,CCCC[n+]1cccc(C)c1,CCCCCCCCOS(=O)(=O)[O-]
3.89,C[N+](C)(C)CCO.O=C([O-])CO,C[N+](C)(C)CCO,O=C([O-])CO
2.27,CCC[n+]1ccn(C)c1.[Cl-],CCC[n+]1ccn(C)c1,[Cl-]
3.25,CCCC[n+]1ccccc1C.F[B-](F)(F)F,CCCC[n+]1ccccc1C,F[B-](F)(F)F
4.15,CC=CC(=O)[O-].C[N+]1(Cc2ccccc2)CCOCC1,C[N+]1(Cc2ccccc2)CCOCC1,CC=CC(=O)[O-]
1.9,CCCCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,CCCCCC[n+]1ccn(C)c1C,F[B-](F)(F)F
3.89,OCCCn1cc[nH+]c1.[I-],OCCCn1cc[nH+]c1,[I-]
2.9,C[N+]1(Cc2ccccc2)CCOCC1.O=C(O)c1ccccc1[O-],C[N+]1(Cc2ccccc2)CCOCC1,O=C(O)c1ccccc1[O-]
3.31193361,CCCCn1cc[n+](CC)c1.O=C([O-])C(F)(F)F,CCCCn1cc[n+](CC)c1,O=C([O-])C(F)(F)F
2.45,C[N+]1(CC#N)CCCCC1.O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F,C[N+]1(CC#N)CCCCC1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
2.56,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F.OCCC[n+]1ccccc1,OCCC[n+]1ccccc1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
2.05,CC[n+]1ccn(C)c1.F[B-](F)(F)F,CC[n+]1ccn(C)c1,F[B-](F)(F)F
2.22,CCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
2.0,CCCC[n+]1ccn(C)c1.N#C[S-],CCCC[n+]1ccn(C)c1,N#C[S-]
2.65,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F.OCC[n+]1ccccc1,OCC[n+]1ccccc1,O=S(=O)(N=S(=O)([O-])C(F)(F)F)C(F)(F)F
3.34,CCOCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCOCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2.03,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
2.37,CCOC(=O)C[N+](C)(C)CC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCOC(=O)C[N+](C)(C)CC,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
1.09,CCCCCCCCCC[n+]1ccn(C)c1.[Cl-],CCCCCCCCCC[n+]1ccn(C)c1,[Cl-]
3.4,CC[S+](CC)CC.[Br-],CC[S+](CC)CC,[Br-]
