"T","P",SMILES,co2,Cation,Anion
338.16,6580.0,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.404,CCCCCC[n+]1ccn(C)c1,F[B-](F)(F)F
323.15,4228.0,COCC[NH+]1C=CN(C)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.1284,COCC[NH+]1C=CN(C)C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
353.15,710.9,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.088,Cn1cc[n+](CCO)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.1,18188.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.85,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,7470.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCCCCOS(=O)(=O)c1ccccc1,0.7051,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCCCCCCCCOS(=O)(=O)c1ccccc1
363.2,1810.0,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,0.128,CCCC[n+]1ccn(C)c1,O=S(=O)([O-])C(F)(F)C(F)F
303.2,1430.0,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.c1ccc(C[n+]2ccccc2)cc1,0.297,c1ccc(C[n+]2ccccc2)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,546.8,CC[N+](C)(C)CCOCCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.162,CC[N+](C)(C)CCOCCOC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
322.9,34500.0,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.7024,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F
373.2,12400.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.571,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
373.2,21560.0,Cn1cc[n+](Cc2ccccc2)c1.O=S(=O)([O-])C(F)(F)C(F)F,0.501,Cn1cc[n+](Cc2ccccc2)c1,O=S(=O)([O-])C(F)(F)C(F)F
298.15,1300.0,CC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2461,CC[n+]1ccn(C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
343.15,400.3,C=CC[n+]1cc[nH]c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.052,C=CC[n+]1cc[nH]c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.15,2350.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CCCCCCCCCCCCOS(=O)(=O)c1ccccc1,0.444,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCCCCCCCCOS(=O)(=O)c1ccccc1
293.55,2755.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,2.244,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
323.31,12009.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.822,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,970.0,CCCC[n+]1ccn(C)c1.N#C[S-],0.159,CCCC[n+]1ccn(C)c1,N#C[S-]
333.18,3586.0,CCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.3,CCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
353.25,1493.0,CCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.1263,CCCCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
338.25,1093.0,CCCC[n+]1ccn(C)c1.N#CC(C#N)C#N,0.1067,CCCC[n+]1ccn(C)c1,N#CC(C#N)C#N
314.05,6740.0,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.6986,CCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,1052.0,COCC[NH+]1C=CN(C)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.85,COCC[NH+]1C=CN(C)C1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,95.12,CN(C)C=O.F[B-](F)(F)F,0.00371,F[B-](F)(F)F,F[B-](F)(F)F
308.15,1500.0,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.326,CCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.3,9066.0,CCCCCC[n+]1ccn(C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.687,CCCCCC[n+]1ccn(C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,1240.0,CCCCCCn1cc[n+](C)c1.N#C[C-](C#N)C#N,0.208,CCCCCCn1cc[n+](C)c1,N#C[C-](C#N)C#N
323.15,1033.0,CCCC[n+]1ccccc1.N#C[N-]C#N,0.104,CCCC[n+]1ccccc1,N#C[N-]C#N
353.25,793.0,CCCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.0762,CCCCCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
313.15,5900.0,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],0.361,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-]
318.1,1800.0,CCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.308,CCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
338.25,1393.0,CCCCCC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,0.1413,CCCCCC[n+]1ccn(C)c1,N#C[C-](C#N)C#N
333.2,3270.0,CC1(C(=O)[O-])CCCN1.CCCC[P+](CCCC)(CCCC)CCCC,0.591,CCCC[P+](CCCC)(CCCC)CCCC,CC1(C(=O)[O-])CCCN1
313.15,7860.0,CC[n+]1ccn(C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.74,CC[n+]1ccn(C)c1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
313.15,3050.0,CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.523,CCCCCCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.0,298.0,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,0.0585,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F
344.0,999.0,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,0.075,CCCC[n+]1ccn(C)c1,N#C[N-]C#N
298.16,7.32,CCCCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.0017,CCCCCC[n+]1cccc(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
283.15,49.9,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,0.0126,CCCC[n+]1ccn(C)c1C,F[B-](F)(F)F
333.15,1580.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.228,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
313.3,5686.0,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.606,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.04,4005.0,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,0.3,CCCC[n+]1ccn(C)c1,N#C[N-]C#N
323.25,1266.0,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.308,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.15,76900.0,CCCC[N+]1(C)CCCC1.COS(=O)(=O)[O-],0.6049,CCCC[N+]1(C)CCCC1,COS(=O)(=O)[O-]
323.15,2.17,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.00013,CC[n+]1ccn(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
333.15,9580.0,CCCC[n+]1ccccc1.F[B-](F)(F)F,0.549,CCCC[n+]1ccccc1,F[B-](F)(F)F
283.15,150.0,C=C[n+]1ccn(CCCC)c1.O=C([O-])C1CCCN1,0.313,C=C[n+]1ccn(CCCC)c1,O=C([O-])C1CCCN1
323.15,651.0,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.0737,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F
288.24,8900.0,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C.CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,0.833,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C
