T,P,vis,SMILES,Cation,Anion
313.14,101.325,-2.768862346,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,CC[n+]1cccc(C)c1,CCOS(=O)(=O)[O-]
323.15,202900.0,-0.653926467,CC(=O)[O-].CCCCn1cc[n+](C)c1,CCCCn1cc[n+](C)c1,CC(=O)[O-]
323.15,101.325,-3.537017105,CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,101.325,-3.967535715,CC[n+]1ccccc1.N#CNC#N,CC[n+]1ccccc1,N#CNC#N
318.15,100.0,-1.26940061,C[N+](C)(C)CCC[n+]1ccccc1.N#CNC#N,C[N+](C)(C)CCC[n+]1ccccc1,N#CNC#N
313.15,100.0,-1.867561183,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,CCOP(=O)([O-])OCC
338.15,101.0,-3.705008836,C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+](C)(C)CCO,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
338.15,101.325,-2.691193084,CCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
313.15,101.325,-4.803621125,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,CCCCCC[NH+](CCCCCC)CCCCCC,CCCCCCCC(=O)[O-]
353.15,101.325,-4.390058806,CCCCn1cc[n+](C)c1.[O-]c1ccccc1,CCCCn1cc[n+](C)c1,[O-]c1ccccc1
313.15,101.0,-3.262305383,CC[NH+](CC)CC.O=P([O-])(O)O,CC[NH+](CC)CC,O=P([O-])(O)O
298.1,101.325,-2.364460497,CCC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCC[N+](C)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
318.15,101.325,-1.655481851,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[c-]1nn[nH]n1,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,[c-]1nn[nH]n1
278.15,100.0,0.2390169,CCCCCCCC[P+](CC)(CC)CC.O=[N+]([O-])c1cnc[n-]1,CCCCCCCC[P+](CC)(CC)CC,O=[N+]([O-])c1cnc[n-]1
321.72,101.325,-1.774902352,CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
303.15,101.325,-0.634878272,CCCCCC(=O)[O-].C[N+](C)(C)CCO,C[N+](C)(C)CCO,CCCCCC(=O)[O-]
308.2,101.325,-1.609437912,CCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCC(=O)[O-]
373.15,101.325,-4.949069938,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[n+]1cccc(C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
343.2,101.325,-3.068302966,CCCCCC(=O)[O-].CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CCCCCC(=O)[O-]
313.15,101.0,-1.123930097,Cn1cc[n+](CCC[N+](C)(C)C)c1.N#CN=C=[N-].N#CN=C=[N-],Cn1cc[n+](CCC[N+](C)(C)C)c1,N#CN=C=[N-]
323.0,101.325,-2.750435918,CCCC[N+]1(C)CCCC1.F[B-](F)(F)c1ccccc1,CCCC[N+]1(C)CCCC1,F[B-](F)(F)c1ccccc1
343.15,25000.0,-3.467337184,CCCCn1cc[n+](C)c1C.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCn1cc[n+](C)c1C,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
303.15,101.325,1.85629799,CCCCCCn1cc[n+](C)c1.[Cl-],CCCCCCn1cc[n+](C)c1,[Cl-]
353.15,101.325,-0.889162064,CCCCCCn1cc[n+](CCC#N)c1.[Cl-],CCCCCCn1cc[n+](CCC#N)c1,[Cl-]
338.15,101.0,-3.676950883,CCCC[N+]1(C)CCCC1.N#C[S-],CCCC[N+]1(C)CCCC1,N#C[S-]
308.15,101.325,-1.602462299,CC(=O)[O-].CCCCn1cc[n+](C)c1,CCCCn1cc[n+](C)c1,CC(=O)[O-]
303.1,101.325,-1.280134165,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
407.88,101.325,-4.500810171,CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
343.15,101.325,-4.35987383,CCCC(=O)[O-].N#CCC[NH+]1C=CN=C1,N#CCC[NH+]1C=CN=C1,CCCC(=O)[O-]
343.0,101.325,-3.036554268,CCCCOC(=O)C1=CC=CN(CCCC)C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.65,130.0,-2.481711759,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F
318.15,101.325,-0.996958635,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CS(=O)(=O)[O-],CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,CS(=O)(=O)[O-]
333.15,101.325,-2.507152259,CCCCn1cc[n+](C)c1.[I-],CCCCn1cc[n+](C)c1,[I-]
343.15,10000.0,-3.902072675,CCOS(=O)(=O)[O-].CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,CCOS(=O)(=O)[O-]
338.0,101.325,-4.342805922,CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
313.15,20050.0,-2.352826309,CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,CCCC[n+]1cccc(C)c1,F[B-](F)(F)F
298.15,50600.0,-0.604220971,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
318.15,101.325,-2.162823151,CCCCCCn1cc[n+](C)c1.[c-]1nn[nH]n1,CCCCCCn1cc[n+](C)c1,[c-]1nn[nH]n1
333.2,101.325,-2.949803342,CCCCCC[n+]1ccc2ccccc2c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[n+]1ccc2ccccc2c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F
288.15,101.3,-1.890475442,C[n+]1ccn(CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCO)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
303.15,101.325,-2.718706781,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,CCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F
298.15,100.0,-0.443166975,CCCCn1cc[n+](C)c1.COP(=O)(O)OC,CCCCn1cc[n+](C)c1,COP(=O)(O)OC
328.15,101.325,-4.350527968,CCn1cc[n+](CC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](CC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
298.15,101.0,0.006975614,Cn1cc[n+](CCC[N+](C)(C)C)c1.N#CN=C=[N-].N#CN=C=[N-],Cn1cc[n+](CCC[N+](C)(C)C)c1,N#CN=C=[N-]
323.15,101.325,-3.261261541,COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,COCC[N+]1(C)CCCC1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
333.15,80200.0,-3.020024966,CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCC[P+](CC)(CC)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
363.15,101.325,-2.744195648,CCCC[N+](C)(CCCC)CCCC.NC(CO)C(=O)[O-],CCCC[N+](C)(CCCC)CCCC,NC(CO)C(=O)[O-]
353.15,101.325,-4.166270302,CC(N)C(=O)[O-].CCn1cc[n+](C)c1,CCn1cc[n+](C)c1,CC(N)C(=O)[O-]
323.15,75800.0,-1.754463684,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,CCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F
283.15,101.325,-1.321630848,CCCCCCn1cc[n+](CCCCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCn1cc[n+](CCCCCC)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
323.1,101.325,-2.390324007,CCCCCC(=O)[O-].C[NH2+]CCO,C[NH2+]CCO,CCCCCC(=O)[O-]
313.15,101.325,-2.798522104,CCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
